Urdu	Roman-Urdu	Ur—Rom Confidence Score	English	Ur-En Confidence Score
سنتے	asul	0.25	listen	0.65
رئپلاۓ	reply	0.2	reply	0.67
ننبر	number	0.17	number	1.0
سانپ	bichho	0.17	creature	0.57
ايرتھ	earth	0.2	earth	0.701
اوران	uraan	0.2	therein	0.56
وسیع	upny	0.25	vast	0.69
بھولا	bola	0.25	naive	1.0
شہک	shaukat	0.29	gurgiser	0.52
تصویریں	tasveerainphir	0.14	emails	1.0
عضو	ajao	0.25	foetal	0.66
اکپينسٔو	expensive	0.11	expensive	1.0
ایجوکیشن	education	0.22	edutrust	0.6
آیات	murad	0.2	oracles	0.55
اونلاین	online	0.17	online	1.0
اوپن	open	0.25	bpsl	0.53
اغوا	kidnap	0.17	50	0.446
ایوانے	dewaane	0.29	iwane	0.25
ہوم	hmpg	0.25	robocon	0.49
ہز	this	0.25	yjw	0.5
ماونٹين	mountain	0.25	mountain	1.0
ووڈ	void	0.25	filmare	0.5
لۓ	liye	0.25	vice	0.248
عمرزئی	beauty	0.17	beauty	1.0
فائی	highfaihahahahaha	0.12	snib	0.53
مٔٹ	might	0.2	might	0.559
سہتے	tamasha	0.29	persecuted	1.0
ہیک	hack	0.25	jsy	0.53
اسپيڈ	speed	0.2	speed	1.0
يونئورسٹي	university	0.1	university	1.0
مآءیند	mind	0.25	mind	1.0
اُساما	usama	0.2	usama	0.358
اسپلٹ	split	0.2	split	1.0
مجال	zaman	0.2	zaman	0.251
ایر	year	0.25	aerv	0.52
لٔور	liver	0.2	liver	0.56
اوپر	upar	0.25	above	0.65
راک	rock	0.25	autohaze	0.5
ائٹ	eight	0.2	eight	1.0
