Urdu	Roman-Urdu	Ur—Rom Confidence Score	English	Ur-En Confidence Score
اِن	in	0.5	ramada	0.453
ستمبر	sep	0.33	september	0.98
چہرہ	chehra	0.67	eyeline	0.65
بیشک	be¤hak	0.33	rending	0.652
مانسرہ	mansehra	0.62	mansehra	0.599
مچھلی	machli	0.5	fish	1.0
پاسز	pases	0.6	passes	1.0
سندھ	farazsindhi	0.4	indus	0.64
ڈینجر	danger	0.33	danger	1.0
مجہمیں	me	0.5	me	1.0
کس	kis	0.67	how	0.62
گز	gaz	0.67	milions	0.47
گَپ	gap	0.33	gap	1.0
خواہشات	hainaurkhwahishat	0.53	desires	1.0
پيٹشن	petition	0.38	petition	1.0
پھنسا	phasa	0.4	stranglings	0.65
بہنوں	behn0n	0.5	sisters	1.0
اکھاڑ	ukar	0.5	ablazed	0.63
طریقہ	tariqa	0.67	method	0.73
مدت	mudat	0.6	time	0.63
الي	ali	0.67	ali	0.997
شعروشاعری	shaairi	0.57	poeticizing	0.67
پھینک	pehnk	0.4	thrown	0.76
ہهو	hon	0.33	hon	1.0
طرفہ	tarafa	0.5	war	1.0
پہنچا	ponch	0.4	reached	0.63
کدر	kadar	0.6	kadar	0.334
ہنر	hunar	0.6	unwearable	0.56
خين	khan	0.5	khan	0.84
اساسن	assassin	0.62	assassin	1.0
وہ	wo	0.5	doubtlessly	0.67
مائے	my	0.5	my	1.0
مسٹر	mr	0.5	umpires	0.43
اِس	is	0.5	same	0.56
بهئی	bhai	0.5	bhai	0.23
زہر	zehar	0.6	poison	0.79
لوين	loan	0.5	loan	1.0
مٹ	mit	0.67	unshattered	0.57
یاسمین	yesmanhi	0.62	jasmine	0.857
آیتٹڈ	attend	0.33	attend	0.997
سوائے	siwae	0.6	exception	0.56
بائے	bye	0.67	whut	0.45
فو	itfun	0.5	ausakafu	0.367
بدلہ	badla	0.6	dishonouring	0.64
جگر	jigar	0.6	anaemic	0.61
اباوٹ	about	0.6	about	1.0
مشورہ	mashwara	0.62	informed	0.71
ببیز	babies	0.67	babies	1.0
روکتا	rota	0.5	prevents	1.0
چھپے	chhupy	0.67	hiding	0.67
فاروقی	z@¤firaq1	0.33	sadequain	0.51
سوئیں	soin	0.5	sleep	1.0
کین	can	0.33	typhoo	0.48
انوأٹ	invite	0.33	invite	0.923
۱۶۰	160	0.33	160	1.0
رکھنے	rakhy	0.6	keeping	0.74
واپسی	wpsi	0.5	return	1.0
کنوليڈج	knowledge	0.67	knowledge	1.0
مسےوز	misuse	0.5	misuse	0.544
ڈکٹر	doctor	0.67	vk	0.49
پہر	pehar	0.6	night	0.67
سلیک	lvrslyk	0.57	sleek	1.0
دفن	dafan	0.6	buried	0.73
ریکوۓسٹ	request	0.57	request	0.771
چیٹنگ	chating	0.43	chatting	1.0
شاوٹ	shout	0.6	shout	1.0
ریپرسنتتیز	representative	0.64	representative	0.524
اککساشن	accusation	0.5	accusation	1.0
نظر	nazar	0.6	glaring	0.63
امتحان	exam	0.5	exam	0.7
حئون	heaven	0.33	heaven	1.0
پڑھائی	parhai	0.67	taught/developed	1.0
فنکشن	function	0.38	function	0.322
سیکشن	section4	0.38	cvte	0.55
پیور	pure	0.5	pure	0.741
مسائل	masaail	0.43	problems	0.75
شرمندہ	sharminda	0.67	ashamed	0.74
ٹھوکروں	thkron	0.5	offences	1.0
ڈیٹ	date	0.5	updates	0.62
رہبر	rahbar	0.67	auspician	0.56
اعلان	ilan	0.5	announced	0.76
چھوتی	chutti	0.33	resistless	0.62
مڑ	mur	0.67	straighted	0.59
شدت	shiddat	0.57	intensified	0.62
نبمر	number	0.33	number	1.0
بستر	bistar	0.67	bed	0.65
ريس	race	0.5	race	1.0
پچھلی	pichli	0.5	unpressed	0.5
پوٹرے	poetry	0.67	poetry	0.784
بلایا	haibulaya	0.56	group's	1.0
سیو	save	0.5	save	1.0
رسک	rax	0.33	kolchuga	0.5
مزہ	mza	0.67	fizziness	0.59
غزل	ghazal	0.67	lyrical	0.74
سر	sar	0.67	head	1.0
موو	move	0.5	move	1.0
يوز	use	0.33	use	1.0
صحن	sehan	0.6	courtyard	0.75
کمینہ	kamina	0.67	bedevilment	0.58
عالیہ	alyia	0.4	jury	0.5
خشیاں	terakhushian	0.58	management	0.969
علوی	alvi	0.5	bedier	0.44
عابد	abid	0.5	aboderin	0.48
ملاحظہ	mulahiza	0.62	rephrasing	0.62
سبق	ise	0.33	lesson	0.6
صدیاں	sadayein	0.62	establishments	0.51
ہمسفر	humsafar	0.62	entiltled	0.61
کھدائی	khudai	0.67	excavation	0.76
عنایت	si	0.5	anayat	0.388
حمزہ	hamza	0.6	mujaki	0.5
کٹی	kitty	0.6	bodybag	0.44
حم	him	0.67	nebuchad	0.6
گلابان	gulistan	0.38	gulistan	0.5
مدينہ	madina	0.33	janubiyah	0.64
گھومنے	guhmne	0.33	community's	1.0
پولائیٹ	polite	0.67	polite	0.602
فلاور	flower	0.5	secondchancegarage	0.5
ڈان	don	0.33	newsdesk	0.53
حلال	halaal	0.67	halal	0.7
پوچھتے	pochty	0.67	remind	0.71
جناح	jinnah	0.67	jinnah	1.0
بگذ	bugs	0.5	bugs	0.703
امریکا	usa	0.33	states	1.0
گرلز	girls	0.6	girls	0.56
سٹیٹس	stats	0.4	uswp	0.57
موبائل	mobile	0.67	mobile	0.62
دسمبر	december	0.62	december	0.97
قدر	qadar	0.6	quantity	0.63
چھوڑنا	chorna	0.33	abandoning	0.62
میسج	msg	0.33	return	0.46
پھنسانے	phasane	0.43	attend	0.997
بائیک	bike	0.5	akm	0.53
ڈراپ	drop	0.5	rerunning	0.59
کلئور	clever	0.5	clever	1.0
تهیت	tek	0.33	tek	0.768
ارمانی	aw	0.5	aw	1.0
کويسشن	question	0.5	question	1.0
چمک	chamak	0.67	brighter	0.69
ڈريسشن	direction	0.44	direction	0.675
بورهتر	brother	0.43	brother	1.0
دیک	dil	0.67	unnesesary	0.48
ابؤو	above	0.6	above	1.0
جم	jamhazaron	0.67	dodori	0.39
تمنا	tamana	0.67	raunchiest	0.53
کھیو	kahiyo	0.67	khieu	0.999
گرانڈمودر	grandmother	0.64	grandmother	1.0
لیونگ	leavng	0.33	qicp	0.56
مسنگ	missing	0.57	missing	1.0
ہوی	th	0.5	spills	1.0
بلیم	blame	0.6	blame	1.0
چینج	change	0.5	tod’s	0.678
السلام	asalam	0.33	judas	0.61
صدیق	siddique	0.67	ulah	0.46
ضامن	zaamin	0.67	guaranteeed	0.64
پوچھنا	puchna	0.67	misinterpretting	0.72
ڈھلنے	dhundley	0.38	fllowing	0.68
کیڑے	gooshtkeere	0.45	piglets	0.67
سازو	chara§sazo	0.4	yokosu	0.267
دائر	dair	0.5	writ	0.62
جرگہ	jarga	0.6	ncop	0.56
بدل	badal	0.6	changed	0.6
کمنگ	upcoming	0.5	upcoming	1.0
رمضان	rum	0.67	ramadan	0.57
شیم	shame	0.6	zeoi	0.54
ٹکڑا	tukara	0.67	encased	0.66
پرائیویٹ	private	0.43	semi-government	1.0
اسیر	espnstaraseer	0.38	chronicals	0.52
جدائی	judai	0.6	tormented	0.62
گئے	gye	0.33	gather	0.62
ارے	ary	0.67	oh	0.208
نوے	nawway	0.67	five	0.69
مئی	may	0.33	january	0.75
پلٹ	palat	0.6	momentarily	0.64
میسیج	msg	0.33	msg	0.157
اسسے	use	0.67	rzt	0.62
جگہ	jaga	0.5	conveniently	0.6
مالک	maalik	0.67	wises	0.49
پہ	pe	0.5	man	0.39
اگست	august	0.67	august	0.96
کھلاؤں	kay	0.33	fat	0.667
مال	maat	0.5	goods	0.65
پردہ	parda	0.6	seven-foot	1.0
گزر	guzar	0.6	shunted	0.55
روتے	roye	0.5	asleep	0.69
کثرت	kasrat	0.67	plentiful	0.67
ماوتھ	mouth	0.4	mouth	0.89
صف	saf	0.67	movements	1.0
فتویٰ	ftawa	0.6	recantation	0.67
اہل	all	0.33	believers	0.68
امسالو	ha	0.5	ha	1.0
زار	bezaar	0.5	kremlin	0.49
رائیٹ	rit	0.67	15/1/2015	0.5
سيرٔور	server	0.5	server	1.0
جل	jal	0.67	alexander's	0.444
ايذي	easy	0.5	easy	1.0
وال	sanwal	0.5	drw	0.45
یونی	uni	0.33	aup	0.51
قبر	qabar	0.6	embalmed	0.64
مریں	maray	0.6	close	1.0
فلک	falak	0.6	skyscrape	0.52
عقبہ	aqbanhi	0.67	qurayn	0.58
ٹکڑے	tukry	0.6	encased	0.63
گروانڈ	ground	0.67	ground	1.0
شہر	shehar	0.67	city	0.73
حیان	shayan	0.67	caii	0.48
شاپ	shop	0.5	dtvs	0.57
آسٹریلیا	australiya	0.5	australia	1.0
رومیٹک	romantic	0.5	romantic	1.0
لگاتا	lagta	0.6	keeps	0.72
زاد	zaat	0.5	firstborn	0.53
ٹھاک	thaam	0.6	shrila	0.54
سُن	sun	0.33	sun	1.0
مام	mom	0.33	rechokim	0.5
قسمت	qismat	0.67	crazy	0.58
راۓ	rai	0.67	oppoose	0.48
حوالہ	hawala	0.67	quote	0.66
دلک	dil	0.67	tinglingly	0.6
فلے	fly	0.67	disstrack	0.47
ڈیوٹی	dute	0.5	units	1.0
ناؤ	now	0.33	now	1.0
لپ	ljp	0.67	beefburger	0.53
جنھیں	gh„z†l>£=jinhain	0.38	confer	0.5
گائز	guy	0.67	guy	1.0
ٹریکس	tracks	0.33	freightliners	0.63
مچ	match	0.6	uproars	0.6
لیبل	label	0.4	rca	1.0
قحط	qehat	0.6	famine	0.72
یہ	ye	0.5	this	0.67
ااچھے	ache	0.5	ache	0.75
رجب	rajab	0.6	ascension	0.55
لکھے	leky	0.5	written	0.72
چیگ	change	0.5	change	1.0
زمہ	zama	0.5	responsibility	1.0
یوح	yon	0.67	yon	0.615
ترس	taras	0.6	compassion	0.777
مدیحہ	madiha	0.67	praisefm	0.5
آۓ	aye	0.33	from	0.51
سمول	small	0.4	small	1.0
نگر	nagaras	0.6	nagar	0.58
ظفر	zafar	0.6	zafar	0.59
چھپا	chupa	0.4	hidden	0.64
زہ	za	0.5	necrophoric	0.52
مءی	may	0.67	may	1.0
ڈیدیکیٹ	dedicated	0.67	dedicated	1.0
ڈالنا	matdalnablkymasjid	0.62	avoided	0.66
قتل	qatal	0.6	murder	0.92
جدھر	jidhar	0.67	bloweth	1.0
بتائیں	bataen	0.5	realize	0.68
ناٹ	nt	0.5	powerplays	0.54
اانہ	enter	0.4	enter	1.0
ایکسیپت	except	0.33	except	1.0
تہمت	tohmat	0.67	dishonoring	0.68
مانے	mainy	0.6	sastify	0.52
چھوڑ	chor	0.5	left	0.69
ستم	sitam	0.6	stragedy	0.56
ھے	hy	0.5	mean	0.51
شمس	haishams1	0.5	portian	0.47
نظم	nazim	0.6	ode	1.0
فائدہ	faida	0.4	detered	0.67
کپتان	capton	0.5	captain	0.382
میوذک	music	0.4	music	1.0
ہیپی	happy	0.4	poreotix	0.55
حصہ	hissa	0.4	part	1.0
رحمت	ra	0.5	ayone	0.42
عادل	adil	0.5	shamur	0.4
سنٹر	center	0.67	assocated	0.53
سٹک	lipstick	0.43	sidex	0.61
حمد	allhamdo	0.43	hymn	0.55
انسین	insane	0.67	insane	1.0
جھلک	jhalak	0.67	vividly	0.67
نفرت	nafrat	0.67	hatred	1.0
باکس	box	0.33	metacritic	0.59
متحد	muttahid	0.5	uniting	0.61
نئور	never	0.4	never	1.0
استعمال	istemal	0.57	use	0.76
گرانڈفادر	grandfather	0.64	grandfather	1.0
بہن	behan	0.6	grandmother	0.74
ایبیوز	abuse	0.4	abuse	1.0
بھٹی	aabhati	0.57	rehma	0.53
کمینے	kamina	0.67	motherfuckers	0.297
کوٹہ	quota	0.6	pipline	0.51
ایرےا	area	0.5	area	1.0
فر	fir	0.67	eat	0.53
ید	yad	0.67	inditing	0.58
چیٹ	chat	0.5	px	0.54
کرکٹ	cricket	0.57	quarterbacks	0.78
اینجل	angel	0.4	trop	0.55
میسجج	msg	0.33	msg	0.157
ماں	maa	0.67	mother	1.0
اچھلنا	uchalna	0.43	leap	1.0
للہ	bismillah	0.33	10,alhamdulillah	1.0
عید	eid	0.33	thanksgiving	0.63
پکڑا	pakda	0.4	noosed	0.66
گاڈ	god	0.33	god	1.0
سنائیں	sunaen	0.5	fixxit	0.55
فوٹبول	football	0.62	football	1.0
امن	ma	0.5	peace	1.0
مٹھائی	mathai	0.67	sweets	0.72
وت	wha	0.33	wha	0.5
مدار	madaar	0.67	earth's	1.0
هاکي	hockey	0.33	hockey	0.441
چه	cherry	0.33	considerato	0.47
پن	pan	0.67	potic	0.47
پڑھتے	pharta	0.33	recite	0.64
پکڑ	pakar	0.6	grabbed	0.68
بلے	baly	0.5	baserunner	0.71
نسبت	nisbat	0.67	relative	0.6
لیٹ	late	0.5	cubicle	0.51
آرگؤ	argue	0.6	argue	1.0
چوز	chose	0.6	chose	0.505
صد	sad	0.67	85	0.667
خلل	khalal	0.67	disinhibition	0.71
لگاتے	lagaty	0.67	hide	0.68
فرات	faraat	0.67	euphrates	0.66
ایڈمن	admin	0.4	havee	0.51
بسنے	basny	0.6	populating	0.59
نہيں	ni	0.5	unimportance	0.57
پکستی	pakistani	0.56	pakistani	0.542
سوئے	soe	0.67	asleep	0.713
چھوٹ	chot	0.5	spare	0.55
نیم	name	0.5	‘lady	1.0
صم	sum	0.67	sum	1.0
پوچھوں	pochon	0.67	ask	0.995
نکل	nikal	0.6	trapped	0.64
جتایا	ehsaanjataya	0.42	conscience	0.809
حلوہ	halwa	0.6	piggul	0.51
رپلاے	reply	0.6	reply	0.67
اينسوير	answer	0.33	answer	1.0
شیطان	karnakemanshaitan	0.41	evil	0.71
گڈ	good	0.5	kkyz	0.48
سک	sak007	0.67	isuckbigtime	1.0
دکان	dukaan	0.67	store	0.75
جیتیں	jeetege4ndshpland	0.67	cartoons	1.0
فرمائیں	frmaenge	0.5	thank	0.68
فائر	fire	0.5	flightstick	0.61
ايدر	either	0.33	either	1.0
لگن	logun	0.6	unexcelled	0.54
ہوئی	hui	0.67	was	0.341
لگنے	lagny	0.6	spraining	0.63
سم	sim	0.67	ped	0.47
میل	male	0.5	miles	0.64
روئے	roye	0.5	sic	0.44
انجل	angel	0.4	angel	0.39
نائس	nice	0.5	erotik	0.47
سکهر	sukkur	0.33	sukkur	0.352
گم	gum	0.67	haunts	0.55
قطر	qatar	0.6	qatar	0.274
اذیت	azziyati	0.57	biting	0.64
مہک	mahikm	0.6	unsticky	0.6
شئیر	shear	0.4	outsource	0.6
پاساج	passage	0.57	passage	1.0
هیو	have	0.5	have	1.0
انٹی	itni	0.5	nppl	0.52
فائدے	faiday	0.33	detriments	0.69
سیچرڈے	sat	0.33	sat	1.0
موم	maa	0.33	softeners	0.59
پلس	starplus	0.38	getglue	0.55
وفائی	bewafai	0.43	inocence	0.58
سنے	sony	0.5	razzing	0.54
شکل	shakal	0.67	form	0.68
رپلائی	reply	0.6	reply	0.67
پليس	place	0.6	place	1.0
بہانہ	bahana	0.67	pretense	0.64
سبکو	sub	0.67	sync	1.0
روو	roopa	0.6	roopa	0.24
چھوڑے	chory	0.4	survive	0.58
آرہے	oupar	0.4	come	0.67
فرینڈ	frnd	0.5	worldfriend4u	1.0
رائن	rain1	0.4	sk	0.45
لگانے	lagny	0.4	inflating	0.63
تصور	tasawur	0.57	notion	0.69
لوؤر	lover	0.4	lover	1.0
دہ	da	0.5	napsi	0.44
ترے	tery	0.5	weep	0.64
حادثہ	sehma	0.4	crash	0.81
گرہوں	jigar	0.4	lqgs	0.61
تومجھے	tujhe	0.4	slaughtered	0.8
آباد	islamabad	0.44	ghial	0.48
طہ	te	0.5	minaretdk	0.51
جد	sajid	0.4	progenitor	0.57
ہوائیں	hawaen	0.5	thermals	0.64
ڈرل	darul	0.6	drill	1.0
ہاؤس	house	0.4	lounge	0.5
بچانے	bachny	0.5	saving	0.64
ایزی	easy	0.5	rd	0.56
ہوجانے	hojaye	0.67	causing	0.66
چھولے	cholay	0.33	paratha	1.0
ٹاءیم	time	0.5	time	1.0
فورجٹ	forget	0.5	forget	1.0
عرشہ	hai	0.33	hai	0.769
ماجِد	majid	0.6	majid	1.0
قاءم	qaim	0.5	irsyad	0.52
بلکل	bilkul	0.67	ridicuously	0.6
مؤو	move	0.5	move	1.0
پر	par	0.67	on	0.413
علامہ	allama	0.67	theologized	0.59
گۓ	gye	0.33	are	0.209
لکی	lucky	0.6	afgh	0.46
رسیو	receive	0.43	receive	1.0
حکم	hukum	0.6	decreeing	0.7
جس	jis	0.67	which	1.0
عاصمہ	asma	0.5	ahlab	0.54
کدہ	kda	0.67	befoul	0.54
چھو	choo	0.5	http://t.co/jzyi2yqjpz	1.0
حئٹ	height	0.33	height	0.763
نالائق	nalayaqlog	0.4	unenlightened	0.65
کمرھ	kamra	0.6	kamra	0.2
بجھ	nebujh	0.5	deadened	0.64
بردار	bro	0.67	uncrewed	0.59
صدر	saddar	0.5	president	0.71
نعمان	noman	0.4	ahzab	0.59
ایکسپت	accept	0.33	accept	1.0
طاقت	taaqat	0.67	power	1.0
فرمائی	farmai	0.67	entreat	0.65
گولڈ	ablegoldgood	0.5	convertible	0.54
جنگلوں	haijanglon	0.6	jungles	0.66
ٹوسٹ	2st	0.33	toast	1.0
طرح	tarah	0.6	etically	0.64
بانہوں	sub	0.33	bangs	0.435
مس	miss	0.67	dash	0.43
عاشق	ashiq	0.4	sorrowful	0.6
محمد	muhammad	0.5	tun	0.43
ابے	aby	0.67	sprich	0.56
اير	air	0.33	air	1.0
اجڑ	dilujjar	0.38	desolation	0.666
تائد	tag	0.67	tag	0.637
آؤٹ	out	0.33	run	0.54
آہی	am	0.5	am	1.0
ہنِّی	honey	0.4	honey	1.0
اپر	par	0.33	renamed	0.44
اولسو	also	0.5	also	0.747
دھڑک	dharhak	0.57	unclenched	0.71
۱۰	10	0.5	april	0.616
فهد	fahad	0.6	fahad	0.808
ہیون	heav3n	0.33	amlux	0.49
مید	made	0.5	made	0.818
لعنت	la'anat	0.57	dishonouring	0.65
مشررف	musharraf	0.67	musharraf	0.777
شاخ	replyshakh	0.5	branch	0.66
گریڈ	grade	0.6	47	1.0
ڈیئر	dear	0.5	sportlite	0.6
مت	mat	0.67	buddhism	0.68
فرینک	frank	0.4	tancerz	0.47
دتھ	death	0.6	death	1.0
پور	mirpur	0.5	sajjanpur	0.66
ہفتہ	hafta	0.6	saturday	0.69
جنکا	jenake	0.67	neous	0.5
رنز	rns	0.67	innings	0.78
مذہب	mazhab	0.67	religion	1.0
چھری	churi	0.4	unremovable	0.55
فادر	father	0.33	lmat	0.43
مائی	my	0.5	tha	0.5
پڑتے	party	0.6	anticipate	0.59
فیکٹری	fctry	0.4	petrol	0.57
عامر	amir	0.5	adnan	0.48
خوشگوار	khusgowar	0.33	calmer	0.61
دعاؤں	duaon	0.4	prayers	0.74
ایریا	area	0.5	kc	0.48
قوت	quvat	0.6	strength	0.68
تسلسل	tasalsul	0.62	continuity	0.66
شخس	shaks	0.4	sworn	1.0
ڈي	die	0.67	enro	0.55
زندہ	zinda	0.6	dead	0.74
چينل	channels	0.38	counterprogrammed	0.56
کيٹ	cat	0.33	cat	1.0
آئیں	aen	0.33	come	0.68
صائمہ	saima	0.4	kayhi	0.53
تیا	the	0.67	the	1.0
عاصم	asim	0.5	sallami	0.57
لگائی	lagai	0.6	lowered	0.6
سیکسی	sxy	0.67	bfuj	0.5
بٹ	but	0.67	tribalized	0.51
انسے	say	0.33	rfnc	0.53
نن	nan	0.67	nan	1.0
لائف	life	0.5	technicon	0.57
سرِشام	sar	0.67	sar	0.265
سؤم	some	0.5	some	1.0
ایج20	age	0.67	age	1.0
پیجیز	page	0.5	page	0.814
طلبہ	talba	0.6	students	1.0
مجرم	mujrim	0.67	unconvicted	0.72
ایٹیٹیوڈ	attitude	0.5	attitude	1.0
انز	ans	0.67	prcomp	0.53
جتنی	hotajitni	0.44	much	0.69
سخن	sukhan	0.67	taherik	0.4
بلاک	block	0.4	block	1.0
پرہیز	perhaz	0.5	insentive	0.6
کمر	kamer	0.6	chest	0.64
حسن	hassan	0.5	usuful	0.46
کپل	cup	0.67	cup	0.917
ايوریون	hi	0.5	hi	1.0
مولوی	molvi	0.6	maulvi	0.65
شاولڈ	should	0.5	should	1.0
گراؤنڈ	ground	0.5	bulldogs	0.67
پرل	pal	0.33	opwml	0.48
محسن	mohsin	0.67	mohsin	0.752
چیلنج	chalnge	0.43	challenge	0.54
اساسناشن	assassination	0.46	assassination	0.363
ایڈ	add	0.33	study	1.0
سنانے	sunany	0.67	conversing	0.64
پٹ	pat	0.67	washer	0.57
فارورڈ	forward	0.43	forward	1.0
جنت	jannat	0.5	sanctuary	0.5
جن	jin	0.67	these	0.76
جنازہ	jinaza	0.67	funeral	0.66
