Urdu	Roman Urdu	English	Ur-Rom	Ur-En	
جل	jal	alexander's	5	1	
مءی	may	may	5	5	
چھٹی	chutti	sixth	5	4	
حکيم	hakeem	hakeem	5	1	Name
رفیق	rafaqatainye	confidance	2	1	
امانت	amanat	cherisher	5	1	
کنوليڈج	knowledge	knowledge	5	5	
طرار	traz	immiserizing	2	1	
بهای	bhai	bhai	5	5	
ویسے	wese	occassionally	5	4	
کہا	kaha	called	5	5	
کھدائی	khudai	excavation	5	5	
قوین	queen	queen	5	5	
صدیق	siddique	ulah	5	1	
گز	gaz	milions	5	1	
ہلاک	halak	killed	5	5	
کثرت	kasrat	plentiful	5	5	
پوری	puri	fledged	5	1	
رخان	rehna	rehna	2	1	
ایپس	apps	apps	5	5	
لگو	lago	walk	5	1	
اسکا	uska	handle	2	1	
قابل	qabil	accomplishable	5	5	
باطل	batil	animus	5	1	
باتيں	baatein	importanly	5	1	
ازاں	azaan	later	5	5	
سمرتی	smarty	dasavataram	2	1	
باز	baaz	kicking	5	1	
اکیس	amxamix	21	1	5	
سومرا	somra	salour	5	1	
اچانک	achank	suddenly	5	5	
دیکھو	dekho	above	5	3	
جلتا	dhagabolajalta	similar	1	1	
روح	rooh	revivified	5	1	
جوان	jawan	had	5	1	
کرسی	kursi	sitting	5	4	
برف	barf	permafrost	5	3	
پیپر	paper	clamshell	5	1	
آیا	aya	happened	5	2	
گاڈ	god	god	5	5	
محبوب	maheboob	atitude	5	1	
ہنسا	hansa	headbangeeeeerrrrr	5	1	
نان	nan	rongsen	5	2	
بندی	bhaio	reclassifying	1	2	
گوبھی	gobhi	dhodial	5	1	
هيں	hain	quality	5	1	
درد	dard	throat	5	1	
دورانی	duarani	timing	5	4	
اویس	owaisshah89	copyright	2	1	
ایبیوز	abuse	abuse	5	5	
کویٹا	quetta	quetta	5	5	
آب	ab	warmer	5	1	
جکا	juka	food	5	1	
ہلکا	khuram	lighter	1	5	
کدر	kadar	kadar	5	1	
لگی	lagi	chunwan	5	4	
انوولو	involve	involve	5	5	
اگر	agr	if	5	5	
موٹر	motor	ramp	5	1	
ہوگی	hogi	will	5	4	
گفتگو	guftugo	conversation	5	5	
روتے	roye	asleep	3	1	
جامی	jami	our	5	1	
آسیب	aasaib	homless	5	1	
اانہ	enter	enter	1	4	
پاگلوں	paglon	ooos	5	1	
اکیلی	akeli	shown	5	1	
ڈیٹ	date	updates	5	2	
نکلتے	nikalty	absorb	5	1	
بهئی	bhai	bhai	5	1	
مارو	maro	dogs	5	1	
حوٹيل	hotel	hotel	5	5	
خوابوں	khwabon	kreatures	5	2	
وضو	wazu	ablution	5	5	
نها	naha	naha	5	1	
فقروں	faqiron	digressions	5	5	
الان	elan	sephar	5	3	
ڈھلتی	dhalti	imperceptibly	5	2	
مزاق	mazak	uncouth	5	2	
قبولیت	qaboliat	acceptance	5	5	
زی	z	kahz	5	1	
وضاحتیں	wazahteinkesi	descriptions	3	4	
يير	year	year	5	5	
جناب	janab	eulogize	5	3	
کونٹراري	contrary	contrary	5	5	
پلے	playboy	playdead	2	2	
ملتے	milte	distinguish	5	4	
نا	na	uncircumcision	5	1	
ایڈوانس	advance	titech	5	1	
دنو	dino	nov	5	1	
سند	send	certificate	5	5	
شرط	shrt	stipulative	4	4	
کرن	kiran	pal	5	1	
دیک	dil	unnesesary	1	1	
8	8	8	5	5	
تمھارے	tmhary	whore	5	1	
منع	mana	admonishing	5	4	
ڈرنا	drna	seem	5	2	
تعلیم	education	education	1	5	
چیٹ	chat	px	5	1	
سارے	sare	core	5	2	
چوک	chocklate	mall	3	1	
خیال	khayal	regards	5	3	
تمنا	tamana	raunchiest	5	2	
چیرمین	chairman	chairman	5	5	
ٹایم	time	aatv	5	1	
کھایا	khaya	eat	5	5	
لیبر	labour	capitalistas	5	1	
يوار	your	your	5	5	
لکیریں	lakeerain	smoothings	5	1	
نظروں	nzaron	unseeing	4	2	
سی	c	ef	5	1	
ریشم	resham	silk	5	5	
7	7	septuplet	5	1	
احسان	ehsan	wasty	5	1	
واٹ	wat	kw	5	2	
صحیح	sahi	definite	5	3	
ٹیک	take	suped	5	1	
برداشت	bardasht	endure	5	4	
شي	she	she	5	5	
کیجیے	kejye	hopefully	5	2	
مرسی	mercy7halka	morsi	2	1	
ستان	satana	vetitum	3	2	
ارضی	arzi	geomorphic	5	1	
مزہ	mza	fizziness	5	2	
اشک	ashk	tears	5	5	
مدار	madaar	earth's	5	1	
میمن	memon	mujeed	5	1	
عابد	abid	aboderin	5	1	
فور	for	5-1	5	3	
پهر	phr	accumilated	5	1	
ٹٔم	time	time	2	3	
اچھلنا	uchalna	leap	5	4	
هوی	hui	hui	5	1	
آنی	ani	worldfriend4u	5	1	
حیرت	hyrat	surprising	4	5	
مقابلے	muqably	defeaters	5	2	
ہی	hi	though	3	3	
سنہری	sunehri	golden	5	5	
چين	hychain	antiano	2	1	
شو	shoo	show	3	5	
300	300	300	5	5	
راۓ	rai	oppoose	5	2	
ابی	abi	prophet	5	1	
بھنگ	bhang	bhang	5	1	
اللہ	allah	merciful	5	4	
اردو	urdu	urdu	5	5	
وہے	wahey	stories	2	3	
پہلے	pehle	before	5	4	
سچح	such	such	5	5	
سونا	suna	gold	4	5	
پاکستانی	pakistani	pakistani	5	5	
گلاس	glass	watchstrap	5	1	
اینجلس	angelzz	org	4	1	
سمجھو	smjho	pretend	5	5	
شاباش	shabash	well	5	4	
گرانڈمودر	grandmother	grandmother	5	5	
سکتی	sakti	can	5	5	
آف	of	isf	5	1	
یہیں	yhi	normalize	5	1	
وش	wish	shrg	5	1	
عقبہ	aqbanhi	qurayn	3	1	
کلام	kalaam	utterances	5	4	
پاؤں	paon	shoulders	5	1	
کاروبار	karobar	business	5	5	
لینی	leni	listened	5	1	
کناروں	kinare	edges	3	5	
جعفری	jafri	rape’	5	1	
چیکو	chekoo5	mek	4	1	
دائر	dair	writ	5	4	
تمکو	tumko	indeed	5	1	
وادي	wadi	jbel	5	1	
برو	bro	stod	5	1	
بستی	bus	slum	3	5	
بگذ	bugs	bugs	5	5	
اظہار	izhaar	expressing	5	5	
سيرٔور	server	server	5	5	
جویریہ	jaweria	zuvariya	5	3	
چاہوگے	chahoge	ask	5	2	
کھلتا	khilta	pupates	5	3	
122	122	122	5	5	
رکھ	rakh	kept	5	5	
گرلز	girls	girls	5	5	
مو	mobile	choreography	1	1	
مارکیٹ	market	market	5	5	
ڈانٹ	dant	hitlist	4	1	
انہوں	unhon	he	5	3	
شھد	shahd	honey	5	5	
نیلم	neelam	ghaghro	5	1	
حقیقت	haqeeqat	actuality	5	4	
سرخ	surkh	yellow	5	1	
ڈالنا	matdalnablkymasjid	avoided	2	3	
زین	zain	zen	5	2	
خشک	khushi	dry	3	5	
چیٹنگ	chating	chatting	5	5	
سٔٹ	sight	sight	4	5	
دھمکیاں	yardhamkian	retaliations	2	5	
جوﻻٔي	july	july	5	5	
میسیج	msg	msg	4	3	
رپورٹ	report	report	5	5	
خشیاں	terakhushian	management	3	3	
ببیز	babies	babies	5	5	
سہیلی	sahilli	fakest	5	3	
فنکشن	function	function	5	5	
پیس	peace	snacked	5	1	
بیشک	be¤hak	rending	3	2	
مینوئل	manual	energinstal	5	1	
نظم	nazim	ode	3	5	
سونگ	song	sungjun	5	1	
اٹھتے	uthte	subside	5	2	
سیس	sis	fewl	5	1	
عادت	aadat	abstemiousness	5	3	
عالیہ	alyia	jury	5	1	
حيرڈ	heard	heard	5	5	
صف	saf	movements	5	1	
فلور	floor	times	5	1	
اتا	ata	puts	5	2	
غموں	ghamon	sadnesses	5	5	
ااچھے	ache	ache	5	1	
ریبل	rebel	yellowbox	5	1	
دوٹ	idot	runnig	2	1	
گاؤں	gaoon	majno	5	1	
پیور	pure	pure	5	5	
سول	soulzy	civil	2	5	
نٹ	nt	nut's	2	4	
عبدللہ	abdullah	sharifs	5	1	
اسم	asim	adjective	5	5	
پہچانتے	pehchantay	recognizable	5	5	
کنگ	king	burger	5	1	
سٹک	lipstick	sidex	2	1	
عمران	imran	sidhupura	5	1	
قصور	kasor	peshawar	5	1	
خواہشات	hainaurkhwahishat	desires	2	5	
گزاری	guzari	toil	5	3	
لال	laal	tulsi	5	1	
طبعیت	tbiyt	expressionless	4	2	
زیل	zeal	includ	5	1	
رول	rule	reyes”(literally	5	1	
فرشتوں	thafarishton	earthly	3	1	
ہیپی	happy	poreotix	5	1	
عیدین	aridian	prayers	2	2	
سکی	saki	onced	5	1	
چھوتی	chutti	resistless	5	1	
کتا	kuta	eats	5	1	
سہی	sahi	unme	5	1	
مریض	mareez	patient	5	5	
اجر	ajar	reaping	5	2	
خدا	khuda	god	5	5	
وسط	twist2q	middle	1	4	
حمد	allhamdo	hymn	2	5	
ٹوف	tough	tough	5	5	
پاتھ	path	nails	5	2	
فاروق	farooq	nasheeds	5	1	
حينجر	hunger	hunger	3	1	
مخالفت	mukhalfat	vehemently	5	2	
شورو	shuru	nrsu	5	1	
فرض	farz	obligation	5	5	
اسیر	espnstaraseer	chronicals	1	1	
بول	bol	speaking	5	4	
سئون	seven	seven	5	5	
خبری	khabrii	news	5	4	
ہمسفر	humsafar	entiltled	5	3	
وادے	wade	haudan	5	1	
امتحان	exam	exam	1	5	
ظلم	zulm	injustice	5	5	
بوجھ	bojh	overweighted	5	4	
لوھا	loha	loha	5	1	
انلاوفيل	unlawful	unlawful	5	5	
لوڈ	load	realplayer	5	1	
حرا	hira	sleep	5	1	
ستاس	stas	stas	5	2	
ونلي	only	only	5	5	
ستاتی	stati	grievously	5	5	
تبدیل	tabdeel	unchanged	5	1	
گوریلا	goreela786ali	ultranaut	3	3	
کیا	kya	meant	5	4	
بدی	budai	eternalness	5	5	
غمگین	ghamgeen	thirstily	5	2	
برابر	barabar	equal	5	5	
ٹابل	table	table	4	5	
توڑنا	torna	eliminating	5	4	
مافیا	mafia	mafia	5	5	
بريسٹ	breast	breast	5	5	
کھڑا	khara	cowered	5	4	
ٹھہرو	thehro	watch	5	3	
عبدل	abdul	sultani	5	1	
سنٹر	center	assocated	5	1	
ضعیف	zaeef	woundedness	5	3	
سیکھ	seekh	relearn	5	4	
میٹرو	mitro	kathyria	5	1	
گرمیوں	garmiyon	warmer	5	4	
یہاں	yahan	there	5	4	
شیم	shame	zeoi	5	1	
آزاد	azad	free	5	5	
چه	cherry	considerato	3	1	
رہبر	rahbar	auspician	5	5	
نیچے	nechy	bottom	5	4	
کہیں	kahin	imaginably	5	3	
اتار	utar	shackles	5	2	
اوڑھ	oarh	unshaved	5	1	
سف	sfjan2	affad	1	1	
ادھار	udhar	deduct	5	2	
خو	khu	enemic	5	1	
حوصلے	hosly	demoralize	5	2	
تم	tm	stupid	5	1	
آوں	aaon	bid	5	1	
کہوں	kahon	stupider	5	1	
باےکرنے	bye	bye	4	5	
آئینے	aienay	prettifying	5	2	
آصف	asif	datary	5	1	
ماں	maa	mother	5	5	
نوے	nawway	five	5	1	
کاٹتے	kat'te	flatten	3	2	
مورگن	morgunmeri	morgan's	2	4	
باغ	baagh	garden	5	5	
باکس	box	metacritic	5	1	
کو	ko	accordingly	5	3	
ترمیم	tarmeem	revisions	5	5	
مینے	mene	ffc	5	1	
23	atif23	preced	5	5	
لگاتا	lagta	keeps	5	4	
پينسل	pencil	pencil	5	5	
تیار	tayar	prepared	5	5	
جلے	diljaly	discked	3	1	
آسٹریلیا	australiya	australia	4	5	
انکنون	unknown	unknown	5	5	
لیڈی	ledy	liberty's	5	1	
اسے	usay	it	5	1	
کرنا	krna	choosing	5	2	
را	raat	un	2	1	
کھائی	khe	trench	2	5	
لوہے	lohe	iron	5	5	
بهے	b	b	3	1	
زرد	zard	yellow	5	5	
وکیل	wakeel	lawyer	5	5	
چھپے	chhupy	hiding	5	5	
ھوں	hon	messenger	5	1	
اساسن	assassin	assassin	5	5	
کنارا	kinara	meandar	5	4	
دگنا	dugna	rewarded	5	4	
اٹھیں	uthen	blown	5	3	
آبی	aabi	waterways	5	5	
اڑتے	6urte	gulps	3	1	
بن	ban	prophet	5	1	
چھوڑنا	chorna	abandoning	5	5	
موہ	mo	hawaai	3	1	
سافٹوئر	software	software	5	5	
کراذي	crazy	crazy	5	5	
انڈودوال	individual	individual	5	5	
شاید	shayad	probably	5	5	
لگاؤ	lagao	al-qaeda	5	1	
گود	godh	husbandless	4	1	
سکون	sukun	bearable	5	3	
حسب	hasb	therein	5	5	
نبھا	nibha	balochistan,”	5	1	
مسیج	msg	msg	3	3	
سُن	sun	sun	5	2	
مارنے	marne	botching	5	2	
منگل	mangal	jandol	5	1	
42	42	42	5	5	
یاب	kamyam	fortunate	3	2	
ہاشمی	hashmi	hashmi	5	5	
بوبی	boby786	dudesman	3	1	
ہسبنڈ	husband	husband	5	5	
بتانا	btana	rememberable	5	4	
لمبی	lambi	long	5	5	
عام	aam	widespread	5	4	
راج	loveurajj	raj	2	5	Name
پہنچے	punhchy	we'd	5	1	
طنز	tanz	sarcasm	5	5	
بت	bt	affronts	4	1	
مولا	mola	ol	5	1	
گي	ge	peole	3	1	
باهر	bahar	bahar	5	2	
ایڈورڈ	edwward	fa	5	1	
ستوں	ston	aheads	5	1	
عبرت	bara	artitude	2	1	
رومانٹک	romantic	romantic	5	5	
سلینتھ	silent	silent	5	5	
سوپر	super	astro	5	1	
ناشتے	nashta	precooked	4	2	
بوجھل	bojhal	salvable	5	3	
پیاری	pyari	osee	5	1	
مسلسل	musalsal	continuously	5	5	
گِو	give	give	5	5	
جملہ	jumla	preambles	5	4	
لینا	lena	taking	5	5	
ہر	har	every	5	5	
امام	imam	miracles	5	1	
ونگ	wang	chongryon	3	1	
سہیل	sohail	aqib	5	1	
دتا	dita	filmyug	5	1	
محدود	mehdood	restricted	5	5	
نسخے	jisnay	copy	2	1	
کراؤ	karao	from	5	2	
پرانا	purana	today	5	2	
نرم	narm	blunt	5	3	
بیلنس	balance	kommuninvest	5	1	
سوگ	sog	mourning	5	5	
کیدو	frndskidunya	adviser	1	1	
بر	bar	videly	5	2	
ہیںک	he	he	2	1	
اختر	akhtar	banvi	5	1	
اتنا	itna	much	5	5	
مائے	my	my	5	5	
فرشتہ	1farista	worshipper	3	2	
اِگزیمز	exam	exam	5	5	
اپسے	thanks	thanks	1	1	
منہ	moun	mouthful	2	4	
آئینی	aini	constitutional	5	5	
گنے	gine	volumizing	5	3	
پروبليم	problem	problem	5	5	
پیا	pia	shortnin	5	1	
پڑھاتا	parhata	teaches	5	4	
جيلي	july	july	5	5	
بائے	bye	whut	5	1	
ٹھوکر	thokar	stuporous	5	2	
یاد	yad	remember	5	5	
انٹری	entery	atc	5	1	
تمی	time	time	3	5	
فورا	fauran	immediately	3	5	
کرتاتھا	krta	unwiling	3	1	
آتا	ata	comes	5	4	
ٹھکراتے	thukrate	appease	5	1	
سردار	srdar	warlord	4	3	
فوار	four	four	5	5	
جگہ	jaga	conveniently	5	3	
نؤومبير	november	november	5	5	
ٹوٹا	tota	pilled	5	1	
ہمّت	himmat	again.”	5	2	
نکلے	nikle	come	5	1	
فلے	fly	disstrack	5	1	
غصے	gusa	swooned	5	2	
ملیں	milenge	scrounged	3	4	
پکانے	pakaane	roasting	5	5	
14	14	pm	5	1	
لیتی	leti	loses	5	1	
چراغوں	charaghoon	torches	5	5	
کہنے	kehne	yelling	5	4	
مبارک	mubarik	tiding	5	2	
جاورنيي	journey	journey	5	5	
معلوم	maloom	precise	5	4	
داد	daad	dad	5	1	
مٹی	mitti	crumbly	5	3	
اپپيرانس	appearance	appearance	5	5	
گاہے	diamondguyisay	hangouts	2	1	
نقل	naqal	transport	5	3	
وصال	wisaal	mourned	5	4	
اہم	ahem	important	5	5	
شام	sham	even	5	3	
وسلام	wasalam	repentance	5	1	
مے	me	oi	5	1	
تاکہ	ta	ensure	2	3	
ہیکر	shikaryr	iecee	1	1	
بجھا	bujha	smouldering	5	3	
سنائیں	sunaen	fixxit	5	1	
ویز	nywayx	airways	2	3	
بجانا	bjana	thumbnail	5	1	
چیا	cheyia	yang	5	1	
مہراب	mehrabpur	murabba	4	1	
مستقبل	hmry	future	1	5	
ٹين	ten	ten	5	5	
سوئیں	soin	sleep	4	4	
حساب	hisab	deducts	5	3	
چینج	change	tod’s	5	1	
وار	waar	community-driven	5	2	
تارے	tare	stars	5	5	
تیاری	tayari	preparation	5	5	
روزانہ	rozana	workdays	5	4	
سنبھال	sanbhal	entrusted	5	4	
انکالاب	bhai	bhai	1	1	
مٹ	mit	unshattered	5	2	
جوکز	jokes	jokes	5	5	
حانڈ	hand	hand	5	5	
پیئیں	payenge	drink	2	5	
ابؤو	above	above	5	5	
ٹیم	team	bengals	5	1	
بکھر	bikhar	scattered	5	5	
رکھو	rakho	keep	5	5	
سٹين	stain	stain	5	5	
حابٹاشن	habitation	habitation	5	5	
سہارا	sahara	recourse	5	4	
ویل	wel	nr	5	1	
پہنچا	ponch	reached	3	5	
کنڈی	kundi	nonari	5	5	
پرائویٹ	private	kplus	5	1	
آفٹر	aftr	megaquake	4	1	
رھے	rahe	collaborate	5	3	
گائز	guy	guy	5	5	
لاگ	lag	openned	5	1	
مسنگ	missing	missing	5	5	
بورنگ	borng	sndk	5	1	
چھین	cheen	reclaim	5	5	
اکھاڑ	ukar	ablazed	4	4	
چاول	chawal	vegetables	5	1	
پکایا	pakaya	cooked	5	5	
بابا	baba	yogi	5	4	
الوايز	always	always	5	5	
سوال	sawal	question	5	5	
صد	sad	85	5	1	
انتہا	inteha	stiflingly	5	4	
وِد	with	with	5	5	
گريف	grief	grief	5	5	
آم	aam	mango	5	5	
گرانڈفادر	grandfather	grandfather	5	5	
ہان	han	konger	5	1	
سبق	ise	lesson	1	5	
کرکيٹ	cricket	cricket	5	5	
بہادر	bahadur	brave	5	5	
مسائل	masaail	problems	5	5	
نکلنا	nklne	avoided	4	3	
پڑنا	prna	quietening	4	1	
ت	t	otiose	5	1	
سيٹيرڈے	saturday	saturday	5	5	
کس	kis	how	5	1	
حلال	halaal	halal	5	5	
فون	ufone	phone	3	5	
کٹی	kitty	bodybag	5	1	
گھبرا	kbighbra	sicked	2	3	
چٹنی	chatni	shreddy	5	2	
قبرستان	qabristan	cemetery	5	5	
جاونگا	jaaongajo	go	5	5	
ه	hyye	prever	3	1	
یونی	uni	aup	5	1	
ایسی	aisi	finable	5	1	
ڈراپ	drop	rerunning	5	3	
تسلیم	tasleem	recognised	5	4	
شمس	haishams1	portian	2	1	
ضروری	zaroori	necessary	5	5	
اعلان	ilan	announced	5	5	
دوبارہ	dobara	again	5	5	
واپڈا	wapda	motab	5	1	
اپن	apun	betted	5	1	
نگاہیں	nigahein	eyes	5	5	
کین	can	typhoo	5	1	
دروغ	darogh	mentalizing	5	2	
هي	hykabi	adones	2	1	
لپ	ljp	beefburger	2	1	
بیا	bia	elegy	4	1	
پھنسا	phasa	stranglings	5	5	
انگلش	english	englist	5	3	
سٹياشن	situation	situation	5	5	
وت	wha	wha	2	2	
فول	fool	cockta	5	1	
جتنے	jitne	hardly	5	2	
حالات	halaat	circumstances	5	5	
انکليڈي	include	include	4	4	
سہتا	sehta	dejects	5	5	
یوکی	lucky	kochk	3	1	
گرمی	garmi	warm	5	5	
ٹييسڈے	tuesday	tuesday	5	5	
دھوپ	dhoop	fog	5	1	
نگری	nagri	alakha	5	1	
حوالے	hawale	pertained	5	5	
بیت	beet	heathens	5	2	
برے	burey	bad	5	5	
سکندر	sikandar	nerely	5	1	
يس	us	us	4	5	
9	9	9	5	5	
سہا	sahara	arale	3	1	
نزدیک	nazdeek	nearer	5	5	
کوٹ	kot	alipure	5	1	
ہونا	hona	choosing	5	1	
رومںٹک	romantic	romantic	5	5	
گئے	gye	gather	5	1	
ڈیٹیل	details	details	5	5	
تہمت	tohmat	dishonoring	5	5	
ماؤں	maaon	inter-fear	5	1	
انجواے	enjoy	enjoy	5	5	
گانا	gana	album	5	4	
دیو	daiyo	antaral	5	1	
ہاں	han	likings	5	2	
وهاں	wahan	townfolks	5	1	
لاہوری	lahoriye	honary	5	1	
با	ba	nient	5	1	
فصیح	faseeh	diction	5	1	
گوسٹ	ghost	ghost	5	5	
اصغر	asghar	alias	5	1	
حملہ	hamla	raid	5	5	
عدل	gudaljesani	inviolable	5	3	
حير	hear	hear	5	5	
سييڈ	syed	syed	5	5	
وہی	wohi	directs	5	4	
ڈيٹ	date	date	5	5	
کیف	kismat	vsya	1	1	
پرائیویٹ	private	semi-government	5	3	
ہارٹ	heart	jlx	5	1	
ساره	sara	sara	5	5	
اٹھایا	uthaya	pushed	5	4	
السلام	asalam	judas	5	1	
پہنچ	pohanch	reach	5	5	
جنون	junoon	melophobia	5	1	
غرور	ghuroor	puffeth	5	1	
ٹورس	tauras	confed	5	1	
ٹریٹ	treat	treat	5	5	
لاس	laso	all	2	4	
شدت	shiddat	intensified	5	5	
ستمبر	sep	september	3	5	
میری	meri	my	5	4	
ٹم	timing	berners-lee	4	1	
کرپشن	khatme	pcdppp	1	1	
صب	sub	sub	5	5	
جرگہ	jarga	ncop	5	1	
صوبہ	salme	province	1	5	
خمینی	khumaini	cabalitian	4	1	
کرکٹ	cricket	quarterbacks	5	1	
ٹاورنامنٹ	tournament	tournament	5	5	
شپ	shap	entrant	5	1	
ہنی	honey	honey	5	5	
ہونی	honey	will	2	4	
ڈوبتے	doobte	drown	5	5	
آوٹ	out	overmatch	5	2	
پنک	punkxx	razorworks	1	1	
یارر	yar	yar	5	5	
سمن	saman1	lamma	4	1	
ایران	iran	italy	5	1	
حق	huq	irrevocable	5	4	
اڑی	ari	rikshaws	5	1	
ہهو	hon	hon	5	2	
اسنے	usne	ing	5	1	
گلہ	gila	sheepmeat	5	1	
ربیکا	rabica	birthday	5	1	
انٹرسٹد	interested	interested	5	5	
مہنگائی	mehngai	billion	5	2	
ياونگ	young	young	5	5	
شدید	shadeed	severe	5	5	
جدائی	judai	tormented	5	4	
توجہ	cncrtrate	attention	1	5	
اکسيس	access	access	5	5	
مررید	married	married	5	5	
ہزاروں	mashghalay	thousands	1	5	
کمانڈ	command	command	5	5	
مات	maat	orders	5	1	
کويسشن	question	question	5	5	
پہ	pe	man	5	1	
پحيسکال	physical	physical	5	5	
بوند	boond	lekti	5	1	
ميمون	memon	djeric	5	1	
پهلا	phela	nooon	5	1	
پوزیشن	position	points	5	4	
ون	one	dwkx	5	1	
شہرت	shuhrat	prominence	5	4	
روکی	roki	goahead	5	1	
بیچارے	bichare	hoarded	5	5	
دہلیز	dehleez	gems	5	1	
بائیک	bike	akm	5	1	
کھلی	kholi	relaxed	1	1	
پیسوں	paiso	coupons	5	1	
بکھری	bikhri	scattered	5	5	
ٹارچ	torch	megaflare	5	3	
مارري	marry	marry	5	5	
بین	behn	international	2	5	
امن	ma	peace	1	5	
شخص	shakhs	person	5	5	
پنگا	panga	ever	5	1	
جدو	jado	effort	5	1	
ہرٹ	hurt	hfy	5	1	
پوچھتے	pochty	remind	5	4	
بیٹے	bety	son	5	5	
جانتا	janta	knows	5	5	
مسلّز	muscles	muscles	5	5	
ھوگا	hoga	nearu	5	1	
گزرا	guzra	sometime	5	2	
ٹھوکروں	thkron	offences	5	5	
بیبی	bibi	poisid	5	1	
چنو	chuno	speed	5	1	
ار	vania	dkdp	1	1	
ياحيا	yahya	yahya	5	5	
دیا	dia	given	5	5	
کپڑے	kapre	clothes	5	5	
پنشوں	pension	pension	5	5	
زہ	za	necrophoric	5	1	
دادی	dadi	grandpapa	5	1	
میسجج	msg	msg	3	3	
پیو	pio	fffb	5	1	
بورن	born2love	ufh	2	1	
حو	ho	seen	5	2	
ٹھنڈی	thandi	cold	5	5	
فائدہ	faida	detered	5	1	
شادی	shadi	marriage	5	5	
عمل	amal	process	5	5	
انجیرننگ	engineering	engineering	5	5	
پیتے	peety	eat	3	1	
فٔٹ	fight	fight	5	5	
رهی	rhi	tlato	5	1	
مریں	maray	close	5	1	
اثر	asar	influence	5	5	
میرے	mere	my	5	5	
پین	0000fun(ghazal)pen	41/007/2003	1	1	
ماضی	maazi	past	5	5	
چانس	chance	prefekt	5	1	
بلوچ	baloch	tehreek-e-insaf	5	1	
بے	be	calmest	5	1	
کھو	kho	loses	5	5	
ميٹ	meet	meet	5	5	
ر	r	subject	5	1	
تھرسٹ	thirst	floodlight	5	1	
ید	yad	inditing	5	1	
ستا	sta	shining	5	1	
پڑتی	parti	necessitates	5	4	
جوي	joy	joy	5	5	
چاشنی	chashni	unmelodious	5	1	
تیاریاں	tayarun	preparations	5	5	
ڈيتھ	death	death	5	5	
شعبان	shabnam	feast	2	1	
انوگف	enough	enough	2	2	
التجا	iltija	behooved	5	2	
کينٹري	country	country	5	5	
