Urdu	Roman-Urdu	Ur—Rom Confidence Score	English	Ur-En Confidence Score
ملو	milo	0.75	befreite	0.5
دعوا	dawaa	1	enounce	0.68
دروازے	drwazay	1	gates	0.78
پلے	playboy	1	playdead	0.55
خمینی	khumaini	0.88	cabalitian	0.51
يسيفيل	useful	1	useful	0.45
خوابوں	khwabon	1	kreatures	0.56
کونفرم	confirm	0.86	confirm	1
جولائی	july	0.75	july	0.935
پیغام	paigham	1	message	1
ممبر	membr	0.8	elected	0.67
بہنا	behna	0.8	moutha	0.5
عام	aam	1	widespread	0.57
گرمی	garmi	0.8	warm	0.66
سٹورم	storm	1	mobclix	0.54
لوٹو	loto	1	rob	0.414
کرسی	kursi	0.8	sitting	0.53
انڈو	ando	1	indoc	0.47
ورڈ	wrd	1	ltip	0.57
غفلت	ghaflat	0.71	fear	0.71
بولیں	bolen	1	hey	0.782
پکانے	pakaane	0.71	roasting	0.66
اپکو	apko	1	piece	0.715
ورگنال	original	0.75	original	0.565
جھٹ	jhot	0.75	spooked	0.51
انتظام	intazam	0.86	administered	0.67
بھای	bhai	1	mikil	0.56
سیکھے	sekhy	0.8	learned	0.69
قاسم	qasim	0.8	firman	0.47
واٹر	water	0.8	yqx	0.52
چو	choo	1	because	0.313
ونگ	wang	0.75	chongryon	0.55
نوشی	noshee	1	smokers	0.74
غمگین	ghamgeen	0.88	thirstily	0.7
جانتے	jante	1	invent	0.6
آوٹ	out	1	overmatch	0.59
ہسبنڈ	husband	0.71	husband	1
ان	un	1	them	0.74
کاش	kash	1	kristellpa	1
پھیلی	paheli	0.83	spreads	0.66
کیللر	killer	0.83	killer	1
ٹیلی	telenor	1	television	1
اکیلی	akeli	1	shown	0.48
دکھایا	dukhaya	0.86	showed	0.71
ساره	sara	0.75	sara	1
ٹابل	table	1	table	1
گجرانوالا	gujranwala	0.9	gujranwala	1
لاٹر	later	0.8	later	1
مزدور	mazdoor	0.86	labourers	0.76
اڑی	ari	1	rikshaws	0.56
ملتے	milte	0.8	distinguish	0.66
شد	shid	0.75	prot	0.47
اسے	usay	1	it	0.594
آخر	akhir	0.8	beging	0.54
جذبات	jazbat	0.83	sentiments	0.74
ماحول	mahol	1	environment	1
چوہدری	ch	1	mr	0.52
مربی	mrb	1	scetic	0.57
آہن	aahn	1	fascine	0.51
برفی	barfee	0.83	suvr	0.49
بتانا	btana	1	rememberable	0.67
زیوس	zeus	1	mummy	0.44
رھا	raha	0.75	rulled	0.55
گیاہ	gaya	0.75	we	0.46
آلات	aalaat	0.83	devices	0.68
دہلیز	dehleez	0.86	gems	0.51
ساحل	sahil	0.8	coastline	0.78
يير	year	0.75	year	1
پنگا	panga	0.8	ever	0.6
اوبیڈی	e	1	e	1
نیو	new	1	matchday	0.62
چیک	chek	1	czech	0.62
کوکا	coca	1	kzrr	0.45
سڑکوں	sarkon	0.83	streets	0.68
سنڈے	sunday	0.83	burrn	0.5
شخص	shakhs	0.83	person	1
وکيپي	occupy	0.83	occupy	1
بدی	budai	0.8	eternalness	0.64
کیٹی	kiti	1	manor	0.39
ہنسا	hansa	0.8	headbangeeeeerrrrr	0.57
معلوم	maloom	1	precise	0.71
گری	giri	0.75	barding	0.47
سیریل	seriali	0.83	remake	0.63
پنجاب	punjab	0.83	punjab	1
لاذي	lazy	1	lazy	0.175
عزتی	bazti	0.8	victimises	0.66
گڑھی	garhi	0.8	gaddi	0.62
تسی	tusi	0.75	osobie	0.51
توں	tu	1	ments	0.5
٢٨	28	1	28	1
ذيرو	zero	1	zero	0.643
سنبھال	sanbhal	0.86	entrusted	0.7
بحرانی	behrani	0.86	balkinization	0.54
لکیریں	lakeerain	0.89	smoothings	0.66
نپال	nepal	0.8	nepal	1
ہاں	han	1	likings	0.56
انوگف	enough	0.83	enough	1
نوٹس	notice	0.8	anouncements	0.61
٣٠٠	300	1	300	1
سنار	sinar	0.8	majoun	0.46
16	16	1	16	1
مردوں	mardon	0.83	gays	0.6
بیٹی	beti	1	daughter	1
ساجن	sajan	0.8	lyric	0.56
ہارٹ	heart	0.8	jlx	0.51
نيمبير	number	1	number	1
بیت	beet	1	heathens	0.48
کمار	kumar	0.8	guzaarish	0.64
اٹھایا	uthaya	1	pushed	0.66
نیلم	neelam	0.83	ghaghro	0.52
مارکیٹ	market	1	market	1
ٹونگيي	tongue	1	tongue	1
روزانہ	rozana	0.83	workdays	0.63
ممبرز	membrz	0.83	npta	0.47
پڑھنے	parhne	0.83	memorising	0.66
کما	kamaw	0.75	treasurest	1
بیٹے	bety	0.75	son	1
اکسيس	access	1	access	1
بیوٹی	beauty	1	lhcba	0.5
ستا	sta	1	shining	0.43
پختون	pukhtoonkhva	0.88	pakhtun	0.58
اختیار	ikhtiyar	0.88	unadopted	0.56
وہے	wahey	0.75	stories	0.593
یارر	yar	1	yar	0.205
پڑتی	parti	0.8	necessitates	0.63
لوھا	loha	1	loha	0.164
باتھ	bath	1	sisport	0.52
ادھو	adhora	1	adise	0.49
بیکار	bekar	1	unharmful	0.62
ماؤں	maaon	0.8	inter-fear	0.356
ہبہ	hbh	1	manumission	0.55
وو	wo	1	gypp	0.45
دیکھو	dekho	1	above	0.61
هونے	hone	1	calate	0.47
یاد	yad	1	remember	0.72
شام	sham	1	even	0.806
لطف	lutf	0.75	enjoy	0.65
زبانی	zubani	0.83	lore	0.54
بجلی	bijli	0.8	electricity	0.78
انکليڈي	include	1	include	0.27
درمیان	darmian	0.86	between	0.78
سا	sa	1	oof	0.47
گانے	gane	1	sung	0.75
احوال	ahwal	1	digressions	0.65
پکانا	pakana	0.83	cooking	0.54
تازی	tazi	1	convertible	1
کہنے	kehne	0.8	yelling	0.62
ممبروں	membro	0.83	seniorities	0.64
رید	reed	1	reed	1
حرا	hira	0.75	sleep	0.57
پار	paar	0.75	uncharted	0.52
رکھو	rakho	0.8	keep	0.55
نہر	nehr	0.75	waterway	0.67
بریانی	baryani	0.86	bostongurka	0.42
جایا	jaya	1	transported	0.6
نادانی	nadani	1	mischieve	0.64
هوتا	hota	1	sustains	0.55
کھلے	khuley	0.8	irise	0.49
کوٹ	kot	1	alipure	0.49
ساں	san	1	san	0.884
مینس	means	0.8	xlc	0.39
اليرٹ	alert	1	alert	0.581
چٹنی	chatni	0.83	shreddy	0.54
ہجوم	hajoom'e'dostan	0.83	gatecrashes	0.54
1	1	1	1	1
دروغ	darogh	0.83	mentalizing	0.62
شیعہ	sheya	0.8	christians	0.72
اللاه	allah	1	allah	1
خاکی	khake	1	chatoyant	0.51
جوش	josh	1	enthusiasm	1
لیفٹ	lift	1	cpl	0.54
عمران	imran	1	sidhupura	0.412
بھری	bhari	0.8	unshrouded	0.51
تلاش	talash	0.83	find	0.75
بت	bt	1	affronts	0.63
انتھ	an	1	an	1
ھوا	hua	1	1950	0.315
حاصل	hasil	0.8	obtained	0.72
بوڈی	body	1	man’s	1
لکھیں	likhen	0.83	write	0.7
ہان	han	1	konger	0.49
واجب	wajib	0.8	obligation	0.65
حساب	hisab	0.8	deducts	0.52
فیصل	faisal	0.83	faisal	0.5
شانت	shanti	1	poren	0.44
واپڈا	wapda	1	motab	0.5
کب	kb	1	coincidently	0.61
ضمیر	zameerkon	0.83	thrower	0.547
سہا	sahara	0.75	arale	0.47
ہمدرد	humdard	0.71	philanthropists	0.58
مارري	marry	1	marry	1
نظارے	nazarechopal	0.83	flusses	0.51
روبرو	rubaro	0.83	wrongdoings	0.6
آسودگی	aasoodgi	1	hospitability	0.62
گنے	gine	0.75	volumizing	0.54
اداس	udas	1	tanaami	0.55
بو	boy	1		0.41
تاکہ	ta	1	ensure	0.7
ناواقف	nawaqif	0.86	knowledgeable	0.66
ھاتھ	hath	1	hath	0.18
راس	ras	1	http	0.274
ريميمبير	remember	1	remember	1
دادی	dadi	1	grandpapa	0.52
کومپلٹ	complete	0.86	complete	1
غیروں	ghairon	1	strangers	0.91
نکلے	nikle	0.8	come	0.64
مرسی	mercy7halka	0.8	morsi	0.451
ہاتے	hate	1	hezaran	0.57
پٹھانوں	pathano	0.86	pushtuns	0.69
١٠	10	1	10	1
کفایت	kafiyat	0.71	content	0.593
ہی	hi	1	though	0.75
چوزہ	choza	0.8	globulous	0.59
لیڈی	ledy	1	liberty's	1
ملیں	milenge	0.8	scrounged	0.57
چاہتے	chahte	1	choose	0.72
رہتا	rehta	0.8	stays	0.74
ریکوسٹ	request	0.86	request	0.771
ميمون	memon	1	djeric	0.43
گرین	green	1	zry	0.45
آرہی	a	1	appears	0.6
فور	for	1	5-1	1
محمّد	m	1	prophesizes	0.53
سی	c	1	ef	0.46
نو	no	1	nine	0.43
آپس	aps	1	together	0.62
کیو	q	1	acd	0.48
جناب	janab	0.8	eulogize	0.56
ٹھہرو	thehro	0.83	watch	0.26
علان	ilaan	0.8	enounced	0.6
ذی	zy	1	gents	1
جینی	jenai	1	lgals	0.46
وعدہ	wada	0.75	promised	0.76
ردا	rida	0.75	stubble	1
اٹھا	utha	1	deaded	0.68
وسلام	wasalam	0.71	repentance	0.71
حجرے	hujre	0.8	ablutions	0.62
چاند	chand	1	moon	1
ستوں	ston	1	aheads	0.54
بے	be	1	calmest	0.5
فري	free	1	free	1
طرار	traz	0.75	immiserizing	0.62
صرف	sirf	0.75	only	1
دھونی	dhoni	1	brinder	0.56
ببلی	bubli	0.8	mammotty	0.6
چارم	charming	1	charming	1
۱۹۹۹	1999	1	1999	0.746
کہن	khan	0.75	khan	0.84
آنچ	aanch	1	pepped	0.52
حسب	hasb	0.75	therein	0.57
گريف	grief	0.8	grief	0.9
کھیلی	kheli	1	level	0.486
ریشم	resham	0.83	silk	1
بہادر	bahadur	0.71	brave	0.63
ذيل	zeal	0.75	nones	0.46
تاڑ	taar	0.75	palisado	0.51
سومرا	somra	1	salour	0.51
کينٹري	country	0.86	country	1
عادت	aadat	0.8	abstemiousness	0.64
اپن	apun	0.75	betted	0.59
تھرٹي	thirty	0.83	thirty	1
١٤	14	1	pm	1
فارغ	farag	0.8	graduted	0.54
پیس	peace	0.75	snacked	0.53
ٹریٹ	treat	0.8	treat	1
سینگ	seng	1	hornless	0.62
سلینتھ	silent	0.83	silent	1
شروع	shuru	0.8	recommenced	0.69
لونگی	loun	1	seehng	0.47
ونڈو	window	0.8	pbi	0.6
شھد	shahd	0.8	honey	1
ربیکا	rabica	0.83	birthday	0.44
وہیلر	whealr	0.83	supercart	0.6
کوپی	copy	1	copy	1
٧	7	1	septuplet	0.46
انڈیا	india	1	eic	0.51
ویل	wel	1	nr	0.46
دفع	dafa	0.75	limitting	0.59
قبولیت	qaboliat	0.75	acceptance	0.69
وادي	wadi	0.75	jbel	0.53
راحت	rahat	0.8	pleasure	0.58
تبدیل	tabdeel	0.86	unchanged	0.69
رپورٹ	report	0.83	report	1
سونا	suna	1	gold	0.63
امانت	amanat	0.83	cherisher	0.47
حدیثِ	hadees	0.83	adiaphoristic	0.66
مزاحیہ	mzahya	0.83	funny	0.557
شون	shown	0.8	tnmk	0.54
سینے	sene	1	gugging	0.5
شریف	shareef	0.86	gamayun	0.52
عدنان	adnan	1	kebsi	0.49
تمھاری	tmhari	1	mighty	0.57
زیل	zeal	0.75	includ	0.5
شي	she	1	she	0.656
پریشانی	pryshani	1	discomforting	0.71
انو	suno	0.75	du	0.45
شادابی	shadabitumhein	1	greenness	0.57
مینے	mene	1	ffc	0.45
بڑی	bari	0.75	huge	0.68
کپڑے	kapre	0.8	clothes	1
ہما	huma	0.75	pal	0.54
دونٹ	dont	1	dont	0.763
ر	r	1	subject	0.677
شادی	shadi	1	marriage	1
چوریاں	choriyan	0.88	buggage	0.51
سٹانڈ	stand	1	stand	1
انیس	anis	1	19	0.717
سالی	sali	1	seasons	0.255
ٹوٹا	tota	1	pilled	0.58
30	30	1	30	0.955
ساما	saima	0.8	saima	1
دوزخی	dozkhi	1	dilluted	0.62
حوٹ	hot	1	hot	1
عباس	abass	1	mecca	0.55
لیتے	letay	1	take	0.7
سونیا	sonia	1	potugal	0.39
جتنے	jitne	0.8	hardly	0.67
بجھا	bujha	0.8	smouldering	0.6
فاحيم	faheem	0.83	faheem	1
گانا	gana	1	album	0.68
روتا	rota	1	asleep	0.67
فریب	fareb	0.8	monsterous	0.57
بتایا	btaya	1	surmised	0.68
آس	aas	1	greened	0.49
سٹين	stain	1	stain	0.55
گرلس	girls	0.8	jasms	0.45
اسکا	uska	1	handle	0.702
فرض	farz	0.75	obligation	0.62
منٹ	mint	0.75	minutes	1
طاہر	tahir	0.8	tahirakram	1
انجيسٹس	injustice	0.88	injustice	0.664
نفرتوں	nafratonka	0.75	enmities	0.71
گیٹ	getsensiblehi	1	storyeum	0.5
آیا	aya	1	happened	0.62
مہندی	mehndi	0.83	nappali	0.49
پہنچ	pohanch	0.71	reach	0.71
رهی	rhi	1	tlato	0.48
ميرے	mere	1	mere	1
فاملي	family	0.83	family	1
جے	j	1	cs	0.49
نیچے	nechy	0.8	bottom	0.68
بوڑھی	borhi	1	pampered	0.59
منيٹي	minute	0.83	minute	1
بین	behn	0.75	international	1
گہری	gehri	0.8	deeper	0.67
بال	bal	1	hair	0.778
دانت	dant	1	tusks	0.66
جہاز	jahaz	0.8	ships	0.84
سنسیر	sincere	0.83	sincere	0.539
کرٹين	curtain	0.86	curtain	1
دونوں	dono	1	both	1
سمجھایا	samjhaya	0.88	understood	0.67
هے	hai	1		0.49
شہرت	shuhrat	0.71	prominence	0.67
باغ	baagh	0.8	garden	1
مات	maat	0.75	orders	0.47
جوي	joy	1	joy	0.653
دیکھتے	dekhte	1	bring	0.65
بجانا	bjana	1	thumbnail	1
آبی	aabi	1	waterways	0.61
افغانستان	afghanistan	0.91	afghanistan	1
ہونا	hona	1	choosing	0.63
پسی	pseibbpu	1	shampoo	0.53
بیہودہ	behoda	0.83	squeamishly	0.58
والسلام	w	1	hereth	0.6
گوم	gum	1	gum	1
نان	nan	1	rongsen	0.51
کھا	kha	1	eaten	0.69
عمل	amal	0.75	process	0.65
کھڑا	khara	0.8	cowered	0.64
آں	aan	1	befre	0.52
ازاں	azaan	0.8	later	0.83
جذب	jazb	0.75	absorbing	0.71
اٹھتے	uthte	1	subside	0.63
ٹانگیں	tangy	1	claws	0.72
پھولوں	phoolon	1	flowers	1
ویسے	wese	1	occassionally	0.64
پڑھاتا	parhata	0.86	teaches	0.68
بورن	born2love	1	ufh	0.49
کڑیاں	kuriyan	0.71	butches	0.63
پاکستانی	pakistani	0.89	pakistani	1
جتنا	jitna	0.8	much	0.73
پوانٹ	point	1	point	1
لال	laal	0.75	tulsi	0.48
ستاروں	sitaron	0.86	stars	1
بدنصیب	badnasib	0.75	unbend	0.55
تھنگ	thing	0.8	thing	1
سرکار	sarkar	0.83	officials	1
حفاظت	hifazat	0.71	protect	0.89
خو	khu	1	enemic	0.52
برابر	barabar	0.71	equal	0.72
پينچ	punch	1	punch	1
مانند	maanind	0.71	resembling	0.65
ڈرنا	drna	1	seem	0.749
خیالوں	khayalon	0.88	imaginations	0.69
شو	shoo	1	show	0.65
کروٹ	krwat	0.8	isolate	0.364
مانگا	manga	1	handiworks	0.48
کشش	kashish	0.71	rarefied	0.64
راب	rab	1	mustmast	0.4
کري	cry	1	alexai	0.45
بوبی	boby786	1	dudesman	0.46
ہنی	honey	0.75	honey	1
بنک	bunk	0.75	sidbi	0.57
برو	bro	1	stod	0.38
حيرڈ	heard	0.8	heard	0.863
اسم	asim	0.75	adjective	0.6
پرانا	purana	0.83	today	0.55
سييڈ	syed	1	syed	0.941
ریپلاے	reply	0.8	reply	0.67
حو	ho	1	seen	1
گجرات	gujraat	0.71	gujrat	0.74
شدید	shadeed	0.86	severe	0.77
جاتا	jata	1	referred	0.64
سکتی	sakti	0.8	can	0.77
بیا	bia	1	elegy	0.35
ذکر	zikr	0.75	mention	0.86
ح	happy	1	printf	0.443
انکنون	unknown	0.86	unknown	1
اظہار	izhaar	0.83	expressing	0.77
جاننا	jan'na	0.83	question	0.65
جانے	jane	1	being	0.68
وار	waar	0.75	community-driven	0.405
موہ	mo	1	hawaai	0.54
نیٹورک	network	0.86	network	1
بھیجا	bheja	1	donkeyhotey	1
لؤڈ	load	0.75	load	0.723
بیٹا	beta	1	son	0.78
کہانی	kahani	0.83	plotline	0.73
تمہارے	tumhary	0.71	you	0.73
سیند	send	1	send	0.985
آنی	ani	1	worldfriend4u	1
موجود	mojood	1	there	0.63
آونگا	aa'oonga	0.88	comfortless	1
یکی	yaki	0.75	gdan	0.35
چا	cha	1	chinese	1
سہارا	sahara	0.83	recourse	1
ہرٹ	hurt	0.75	hfy	0.55
نعش	nasha	1	stoned	0.6
ادھورے	adhore	1	repatedly	0.56
پاتی	pati	1	enables	0.57
پهر	phr	1	accumilated	0.55
دھمال	dhammal	0.71	blasts	0.67
نها	naha	0.75	naha	0.364
بابر	baber	0.8	tigerishka	0.5
ستاس	stas	1	stas	0.247
آدھی	adhi	1	half	0.56
کرنا	krna	1	choosing	0.73
چلا	chala	0.8	out	0.6
شباب	shabab	0.83	video	0.571
دوزخ	dozakh	0.83	lest	0.6
کاندهار	kandhar	1	kandhar	0.488
ہیروز	heroz	1	superboy	0.49
غار	ghar	1	cave	0.86
بولنے	bolne	1	speaking	0.65
مارنے	marne	1	botching	0.64
فنڈ	find	0.75	fund	1
کالا	kala	1	black	0.5
حالات	halaat	0.83	circumstances	0.72
لیتی	leti	1	loses	0.6
وکٹوں	wicto	0.8	scoreless	0.71
خلوص	khaloos	0.86	sincere	0.73
شارق	shariq	0.83	apprecited	0.53
روکی	roki	1	goahead	0.5
آجاتا	ajata	1	pushes	0.7
سان	saani	0.75	htm	0.69
غور	ghour	1	clarifies	0.56
محبوب	maheboob	0.75	atitude	0.61
بیچتا	bechta	1	grown	0.56
لڑکی	larki	0.8	girl	1
بیٹھے	bethe	1	idly	0.62
سیکھ	seekh	1	relearn	0.67
سخی	sakhi	0.8	serene	0.53
دھوپ	dhoop	1	fog	0.61
وکیل	wakeel	0.83	lawyer	0.69
اقرار	iqraar	0.83	questioning	0.65
مورخہ	morkha	0.83	unveild	0.49
پرندے	parinde	0.71	birds	0.69
دیکھوں	dekhun	1	seeing	0.67
دیرا	dera	1	dera	0.942
تمکو	tumko	0.8	indeed	0.31
بروتھر	brother	0.86	brother	1
دکھا	dikha	0.8	shew	0.587
نقصان	nuqsan	0.83	damage	0.74
عزاب	azab	1	torment	1
گزرا	guzra	0.8	sometime	0.56
اڑتے	6urte	0.8	gulps	0.6
لگاو	lagao	0.8	reping	0.51
پیو	pio	1	fffb	0.53
زنگو	zingoo	0.83	zingoo	0.212
با	ba	1	nient	0.48
گھوڑا	ghora	1	muled	0.57
باطل	batil	0.8	animus	0.61
مٹھا	mutha	0.8	buttered	0.66
روح	rooh	1	revivified	0.62
اشتہار	ishthr	0.83	advertisements	0.7
بننا	banna	0.8	preferred	0.57
پڑھی	parhi	0.8	recited	0.62
ڈرٹی	durtyguy345	0.8	scahill	1
را	raat	1	un	0.52
ٹھوکر	thokar	0.83	stuporous	0.66
ہزار	hazar	0.8	thousand	0.88
نالی	naali	0.8	nasolacrimal	0.73
یہیں	yhi	1	normalize	1
حبیب	habibjaan	0.8	omed	0.53
جوف	jauf	1	helcium	0.57
ظاہر	zahir	0.8	indicating	0.68
ہیلتھ	health1	0.83	hdrc	0.63
رسم	rasm	0.75	vernacular	0.56
تين	teen	0.75	infas	0.45
واٹ	wat	1	kw	0.64
دھم	dhammal	0.75	teargas	0.59
سٹارز	starz	1	gameflier	0.58
گرمیوں	garmiyon	0.75	warmer	0.72
بات	bat	1	fact	0.75
پیاسا	pyasa	1	sweet	0.47
تفری	tafre	0.8	chaos	0.719
چاہتی	chahti	1	unwillingly	0.61
موہر	mohar	0.8	peeche	0.54
چاہوگے	chahoge	1	ask	0.549
ماتم	matam	0.8	orgiastic	0.65
حي	he	1	he	1
مونڈے	monday	1	monday	1
سہی	sahi	0.75	unme	0.54
سکھا	sikha	0.8	transmogrified	0.57
فہیم	fahim	0.8	mpacuk	0.48
صفدر	safdr	0.8	jammo	0.49
سلطان	sultan	0.83	sultan	1
عارضی	aarzi	1	temporary	0.63
سورج	suraj	0.8	sun	1
گیت	geet	1	song	0.79
سودا	soda	1	fruing	0.49
وضاحتیں	wazahteinkesi	0.78	descriptions	0.65
انٹری	entery	0.83	atc	0.56
مونا	muna	1	mona	0.779
کھاکر	khakar	0.83	unawares	0.63
رول	rule	1	reyes”(literally	1
اہم	ahem	0.75	important	1
چنو	chuno	0.8	speed	1
دیو	daiyo	0.8	antaral	0.5
تارے	tare	1	stars	0.56
اڑ	urr	1	scrammed	0.67
دورہ	dora	0.75	visiting	0.48
چلیں	chlen	1	come	0.73
پاسٹ	past	1	star	0.48
انے	aane	0.75	menting	0.68
جيلي	july	1	july	0.935
مہنگائی	mehngai	0.71	billion	0.405
مخالفت	mukhalfat	0.78	vehemently	0.71
کرکيٹ	cricket	0.71	cricket	0.667
ینجوے	enjoy	0.8	enjoy	1
ريپورٹ	report	1	report	1
پشت	pusht	0.8	arms	0.57
گنتی	ginty	0.8	eighter	0.51
اردو	urdu	1	urdu	0.733
تھن	thin	0.75	chocoball	0.57
طالب	talib	0.8	good	0.431
ھوگا	hoga	1	nearu	0.48
کراچی	karachi	0.86	karachi	1
فاروق	farooq	1	nasheeds	0.55
مولا	mola	1	ol	0.47
وین	whenevr	0.75	rydquist	0.48
پرنٹ	print	0.8	print	0.65
خلاد	khiladi	0.83	messiahship	0.59
کرو	kro	1	wait	0.7
چوک	chocklate	1	mall	0.57
نقش	naqsh	0.8	painted	0.6
گولیاں	goliyan	0.86	bullet	0.63
فورس	force	1	dflt	0.59
انگ	ang	1	jiating	0.63
حمو	humor	0.75	humor	1
اسلی	isly	1	dctl	0.43
فرق	farq	0.75	difference	1
سب	sb	1	arguably	0.63
آفٹر	aftr	1	megaquake	0.52
ييل	yell	1	yell	1
يٹس	etc	1	etc	0.561
سول	soulzy	1	civil	1
نرم	narm	0.75	blunt	0.58
گاوں	gaaon	0.8	town	0.418
نکلنا	nklne	1	avoided	0.59
تیاری	tayari	0.83	preparation	0.72
ہاہا	hahahahahaha	1	hotrod	0.48
مورنگ	morning	0.71	gbpuat	0.52
بزم	bazm	0.75	huffily	0.51
اپپيرانس	appearance	0.89	appearance	1
گالی	gali	1	undertitle	0.5
گوسٹ	ghost	0.8	ghost	0.973
جدو	jado	0.75	effort	0.392
ٹانگوں	tango	1	claws	0.73
کیا	kya	1	meant	0.68
ڈھلی	dhali	0.8	foreshortenings	0.61
امام	imam	1	miracles	0.64
جنهوں	jinho	0.8	zagars	0.42
